DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
02.05.2018;0228/2016-2020/GR;228;Standesinitiative Kostendeckende Finanzierung der Kinderspitäler und Kinderkliniken;Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Elisabeth Rickenbach;EVP;7;Ulrich Müller;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;06.08.2018;12.09.2018;erheblich;1;;;
02.05.2018;0229/2016-2020/GR;229;Geldspielgesetz: Folgenschwere Auswirkungen auf Kultur und Sport im Kanton Thurgau?;Einfache Anfrage;5;44.0 Kultur, Kunst (inklusive Lotteriefonds);;;Kultur;;;Hans Feuz;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.05.2018;;;;;;
02.05.2018;0230/2016-2020/GR;230;Wirkung von Sozialversicherungsdetektiven;Einfache Anfrage;5;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Hanspeter Heeb;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.06.2018;;;;;;
02.05.2018;0231/2016-2020/GR;231;Erhöhung der Jagdpachtzinsen um 25 Prozent?;Einfache Anfrage;5;92.2 Jagd und Vogelschutz;;;Landwirtschaft;;;Urs Martin;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.06.2018;;;;;;
02.05.2018;0232/2016-2020/GR;232;Wahlen des Grossen Rates und des Regierungsrates zusammenlegen;Einfache Anfrage;5;16.3 Majorzwahlen;;;Staatspolitik;;;Ruedi Zbinden;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.06.2018;;;;;;
13.06.2018;0247/2016-2020/GR;247;In der Kürze liegt die Würze - Qualitäts- und Effizienzsteigerung dank Regelung der Redezeiten;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Petra Kuhn;SVP;1;Aline Indergand;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
13.06.2018;0247/2016-2020/GR;247;In der Kürze liegt die Würze - Qualitäts- und Effizienzsteigerung dank Regelung der Redezeiten;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Petra Kuhn;SVP;1;Aline Indergand;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;07.01.2019;27.02.2019;nicht erheblich;2;;;
13.06.2018;0241/2016-2020/GR;241;Rassismus - ein Offizialdelikt und dennoch ohne Folgen?;Einfache Anfrage;5;31.1 StGB, EG/StGB, Verwaltungsstrafrecht;;;Recht allgemein;;;Marina Bruggmann;SP;4;Nina Schläfli;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;06.08.2018;;;;;;
13.06.2018;0242/2016-2020/GR;242;Medikamententests an Psychiatriepatienten;Einfache Anfrage;5;81.2 Heilmittel, Betäubungsmittel, Suchtprobleme;;;Gesundheit;;;Daniel Frischknecht;EDU;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.08.2018;;;;;;
13.06.2018;0244/2016-2020/GR;244;Privatrechtliche Anstellung versus öffentlich-rechtliche Anstellung;Einfache Anfrage;5;17.7 Staatspersonal: einzelne Personalentscheide;;;Staatspolitik;Beschäftigung und Arbeit ;;Peter Schenk;EDU;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
13.06.2018;0243/2016-2020/GR;243;Strassenverkehrssteuern;Einfache Anfrage;5;74.1 Strassenverkehr, öffentlicher Verkehr auf Strassen;;;Verkehr;;;Max Möckli;FDP;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2018;;;;;;
13.06.2018;0240/2016-2020/GR;240;Ladenöffnungszeiten im Thurgau;Motion;2;55.3 Gewerbepolizei, Marktwesen, Ladenschluss, Ausverkäufe;;;Sicherheitspolitik;Wirtschaft;;Jacob Auer;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.05.2019;03.07.2019;nicht erheblich;2;;;
