DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
03.03.2010;0205/2008-2012/GR;205;Umsetzungstermin des Auszahlungsmodus der Prämienverbilligung;Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Roland Kuttruff;CVP;3;Kurt Baumann;SVP;1;Silvia Schwyter;GP;5;Martin Klöti;FDP;2;Turi Schallenberg;SP;4;Daniel Wittwer;EDU;8;;;;;;;;;;;;;30.03.2010;05.05.2010;erheblich;1;;;
27.10.2010;0293/2008-2012/GR;293;Änderung von § 9 des Gesetzes über das Stimm- und Wahlrecht;Motion;2;16.2 Abstimmungen;;;Staatspolitik;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.08.2011;26.10.2011;erheblich;1;;;
27.10.2010;0294/2008-2012/GR;294;Abbau der Thurgauer Warteliste in der kostendeckenden Einspeisevergütung (KEV);Motion;2;73.3 Andere Energien: Gas, Fernwärme, Solarenergie etc.;;;Energie;;;Bernhard Wälti;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.09.2011;25.01.2012;nicht erheblich;2;;;
16.02.2011;0312/2008-2012/GR;312;Einführung Familienabzug im Steuergesetz;Motion;2;64.1 Staats- und Gemeindesteuern, allgemeine Organisation;;;Steuern;Finanzwesen;;Alex Frei;CVP;3;Hanspeter Gantenbein;SVP;1;Thomas Merz;CVP;3;Regula Streckeisen;EVP;7;Sara Wüger;GP;5;Andrea Vonlanthen;SVP;1;;;;;;;;;;;;;20.09.2011;09.11.2011;erheblich;1;;;
16.03.2011;0321/2008-2012/GR;321;Ergänzungsleistungen für einkommensschwache Familien;Motion;2;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Edith Wohlfender;SP;4;Bernhard Wälti;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;06.03.2012;28.03.2012;nicht erheblich;2;;;
30.03.2011;0329/2008-2012/GR;329;Umweltfreundlicher Strom als Basisangebot;Motion;2;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Toni Kappeler;GP;5;Josef Gemperle;CVP;3;Bernhard Wälti;SP;4;Thomas Böhni;glp;6;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;Rückzug;4;;;
30.03.2011;0330/2008-2012/GR;330;Standesinitiative gegen EU-Agrarfreihandel im Rahmen der Bilateralen III;Motion;2;91.0 Agrarpolitische Massnahmen, bäuerliches Bodenrecht;;;Landwirtschaft;;;Urs Martin;SVP;1;Moritz Tanner;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;20.03.2012;09.05.2012;Rückzug;4;;;
30.03.2011;0331/2008-2012/GR;331;Konzept für einen Thurgauer Strommix ohne Atom;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Thomas Böhni;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;erheblich;1;;;
30.03.2011;0328/2008-2012/GR;328;Standesinitiative: Atomkraftwerk Mühleberg - sofort und definitiv abschalten;Motion;2;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;nicht erheblich;2;;;
11.05.2011;0349/2008-2012/GR;349;Schaffung einer Ombudsstelle;Motion;2;17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege;;;Staatspolitik;Gerichtswesen;;Peter Gubser;SP;4;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;17.04.2012;27.06.2012;nicht erheblich;2;;;
11.05.2011;0353/2008-2012/GR;353;Eine Zukunft mit den Erneuerbaren;Motion;2;73.3 Andere Energien: Gas, Fernwärme, Solarenergie etc.;;;Energie;;;Bernhard Wälti;SP;4;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;25.01.2012;Rückzug;4;;;
11.05.2011;0350/2008-2012/GR;350;Einreichung einer Standesinitiative 'DRG-Moratorium';Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Bernhard Wälti;SP;4;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;17.04.2012;09.05.2012;Rückzug;4;;;
11.05.2011;0351/2008-2012/GR;351;Konzept Biomasse Thurgau;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.01.2012;29.02.2012;erheblich;1;;;
11.05.2011;0354/2008-2012/GR;354;Massnahmen zur Senkung des Stromverbrauchs;Interpellation;4;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Regula Streckeisen;EVP;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.11.2011;15.02.2012;;;;;
15.06.2011;0361/2008-2012/GR;361;Gesamtsprachenkonzept für den Thurgau;Interpellation;4;41.1 Unterstufen: Kindergarten, Volks- und Primarschule;;;Bildung;;;Hannes Bär;SP;4;Josef Brägger;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;13.03.2012;09.05.2012;;;;;
15.06.2011;0360/2008-2012/GR;360;Förderung einheimischer Werte in der Volksschule;Motion;2;41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung;;;Bildung;;;Andrea Vonlanthen;SVP;1;Martin Stuber;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;30.04.2012;13.06.2012;Rückzug;4;;;
15.06.2011;0362/2008-2012/GR;362;Biodiversität 2020;Interpellation;4;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Maya Iseli;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.12.2011;15.02.2012;;;;;
29.06.2011;0365/2008-2012/GR;365;Sicherstellung der Mundartsprache im Kindergarten;Motion;2;41.1 Unterstufen: Kindergarten, Volks- und Primarschule;;;Bildung;;;Hanspeter Gantenbein;SVP;1;Werner Indergand;SVP;1;Verena Herzog;SVP;1;;;;;;;;;;;;;;;;;;;;;;30.04.2012;27.06.2012;nicht erheblich;2;;;
17.08.2011;0373/2008-2012/GR;373;Konsequente Rückforderung der unentgeltlichen Prozessführung;Parlamentarische Initiative;1;27.0 Zivilrechtspflege;;;Recht allgemein;;;Hanspeter Gantenbein;SVP;1;Hermann Lei;SVP;1;Urs Martin;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;23.11.2011;29.08.2012;
14.09.2011;0374/2008-2012/GR;374;Die zukünftigen Strukturen der Spitex;Interpellation;4;81.0 Allgemeines, Organisation, Gesetz, Taxen;;;Gesundheit;;;Ulrich Müller;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.03.2012;25.04.2012;;;;;
26.10.2011;0383/2008-2012/GR;383;Sicherstellung der ambulanten Grundversorgung bei Neugeborenen und Müttern;Interpellation;4;81.1 Berufe, Ausbildung, Schulen, Spitäler, Anstalten;;;Gesundheit;Beschäftigung und Arbeit ;Soziale Fragen;Edith Wohlfender;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2012;05.12.2012;;;;;
09.11.2011;0386/2008-2012/GR;386;Keine Steuergelder mehr für künftige Leistungen der Pensionskasse Thurgau;Motion;2;17.7 Staatspersonal: einzelne Personalentscheide;;;Staatspolitik;Beschäftigung und Arbeit ;;Hanspeter Gantenbein;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;02.04.2013;08.05.2013;Rückzug;4;;;
23.11.2011;0390/2008-2012/GR;390;Sicherung der beruflichen Vorsorge für das Staatspersonal und die Lehrkräfte;Motion;2;17.7 Staatspersonal: einzelne Personalentscheide;;;Staatspolitik;Beschäftigung und Arbeit ;;Daniel Wittwer;EDU;8;Walter Marty;SVP;1;Richard Nägeli;FDP;2;;;;;;;;;;;;;;;;;;;;;;02.04.2013;08.05.2013;Rückzug;4;;;
23.11.2011;0391/2008-2012/GR;391;Überprüfung des Leistungskataloges der kantonalen Verwaltung;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;10.1 Kantonsverfassung und Staatsverträge;61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle;;Staatspolitik;Finanzwesen;Staatspolitik;Carmen Haag;CVP;3;Richard Nägeli;FDP;2;Stephan Tobler;SVP;1;;;;;;;;;;;;;;;;;;;;;;25.09.2012;09.01.2013;erheblich;1;;;
23.11.2011;0389/2008-2012/GR;389;Erweiterung der Interpretation 'Ausrüstungspflicht' bei der Versorgung mit Biogas - Zulassung von Biogas zur Erfüllung des erneuerbaren Anteils gemäss § 8 des kantonalen Energienutzungsgesetzes;Motion;2;73.1 Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz;;;Energie;;;Hanspeter Wehrle;FDP;2;Walter Strupler;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;03.07.2012;07.11.2012;nicht erheblich;2;;;
23.11.2011;0392/2008-2012/GR;392;Bericht 'Stromnetze Thurgau';Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.11.2012;19.12.2012;erheblich;1;;;
06.12.2011;0396/2008-2012/GR;396;Fremdbetreuungsabzug im Steuergesetz;Interpellation;4;64.1 Staats- und Gemeindesteuern, allgemeine Organisation;;;Steuern;Finanzwesen;;Turi Schallenberg;SP;4;Thomas Merz;CVP;3;Sara Wüger;GP;5;;;;;;;;;;;;;;;;;;;;;;25.09.2012;09.01.2013;;;;;
21.12.2011;0402/2008-2012/GR;402;Zur Nomination eines Axpo-Verwaltungsrates;Einfache Anfrage;5;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Peter Gubser;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.01.2012;;;;;;
21.12.2011;0400/2008-2012/GR;400;Abgangsentschädigung EKT;Einfache Anfrage;5;95.4 EKT (und NOK);;;Energie;Staatspolitik;;Vico Zahnd;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.02.2012;;;;;;
21.12.2011;0401/2008-2012/GR;401;EKT: Zivilrechtliche Verantwortlichkeit des Verwaltungsrates wirklich umfassend abgeklärt?;Einfache Anfrage;5;95.4 EKT (und NOK);;;Energie;Staatspolitik;;Urs Martin;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.02.2012;;;;;;
25.01.2012;0403/2008-2012/GR;403;Änderung des Gesetzes über die Gemeinden vom 5. Mai 1999;Motion;2;13.1 Gebiet, Organisation, Reglemente, Verwaltung;;;Staatspolitik;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.08.2012;01.10.2012;erheblich;1;;;
25.01.2012;0404/2008-2012/GR;404;Entlastungsprogramm und Aufgabenverzicht für den Kanton Thurgau?;Einfache Anfrage;5;61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle;;;Finanzwesen;Staatspolitik;;Urs Martin;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.04.2012;;;;;;
15.02.2012;0406/2008-2012/GR;406;Basisangebot der Elektrizitäts-Versorgungs-Unternehmen (EVUs) aus erneuerbarer Energie;Motion;2;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Toni Kappeler;GP;5;Josef Gemperle;CVP;3;Bernhard Wälti;SP;4;;;;;;;;;;;;;;;;;;;;;;19.11.2013;07.05.2014;teilerheblich (1. Teil);3;;;
15.02.2012;0407/2008-2012/GR;407;Beschränkung der Spritzzeiten für Streptomycin im 2012 und Anpassung des Schwellenwertes;Einfache Anfrage;5;91.5 Pflanzenanbau und -schutz, Rebkorporationen, Engerlingsfonds;;;Landwirtschaft;;;Liselotte Peter;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.03.2012;;;;;;
29.02.2012;0411/2008-2012/GR;411;Bewilligung für Inertstoffdeponie;Einfache Anfrage;5;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Moritz Tanner;SVP;1;Stephan Tobler;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;25.04.2012;;;;;;
29.02.2012;0410/2008-2012/GR;410;Massnahmen gegen das Falschwählen;Einfache Anfrage;5;16.2 Abstimmungen;;;Staatspolitik;;;Andrea Vonlanthen;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.05.2012;;;;;;
14.03.2012;0413/2008-2012/GR;413;Uferparzellen in die öffentliche Hand;Motion;2;70.1 Raumplanung, Richtpläne;;;Raumplanungs- und Wohnungswesen;;;Toni Kappeler;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.03.2013;27.03.2013;nicht erheblich;2;;;
14.03.2012;0415/2008-2012/GR;415;Entlastung von der Mehrwertabgabe bei einer Ersatzbeschaffung von Betriebsgebäuden zur Selbstbewirtschaftung;Einfache Anfrage;5;70.1 Raumplanung, Richtpläne;;;Raumplanungs- und Wohnungswesen;;;Guido Häni;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.04.2012;;;;;;
14.03.2012;0414/2008-2012/GR;414;Gewässerraum: Kantonaler Vollzug bis 2018 mit wie viel Kulturlandverlust?;Einfache Anfrage;5;72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer;;;Raumplanungs- und Wohnungswesen;Wirtschaft;;Brigitte Schönholzer;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.05.2012;;;;;;
28.03.2012;0422/2008-2012/GR;422;Öffnung des Zugangs zum Grossen Rat;Motion;2;10.1 Kantonsverfassung und Staatsverträge;;;Staatspolitik;;;Elsbeth Aepli Stettler;CVP;3;Christian Koch;SP;4;Marlies Näf;SVP;1;Walter Schönholzer;FDP;2;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;12.02.2013;27.03.2013;Rückzug;4;;;
28.03.2012;0424/2008-2012/GR;424;Personalentscheide AXPO/EKT Verwaltungsrat;Interpellation;4;95.4 EKT (und NOK);;;Energie;Staatspolitik;;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.03.2013;12.06.2013;;;;;
28.03.2012;0423/2008-2012/GR;423;Umfassende Lehrbefähigung für an der PHTG ausgebildete Lehrpersonen auf der Primarstufe;Motion;2;41.6 Hochschulen: Universitäten, Technika, Höhere Fachschule;;;Bildung;;;Norbert Senn;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.01.2013;17.04.2013;Rückzug;4;;;
28.03.2012;0425/2008-2012/GR;425;Stipendien statt Sozialhilfe;Interpellation;4;;;;Bildung;Soziale Fragen;;Turi Schallenberg;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.12.2012;09.01.2013;;;;;
28.03.2012;0426/2008-2012/GR;426;Erreichbarkeit der kantonalen Angestellten;Einfache Anfrage;5;17.7 Staatspersonal: einzelne Personalentscheide;;;Staatspolitik;Beschäftigung und Arbeit ;;Daniel Vetterli;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.05.2012;;;;;;
25.04.2012;0435/2008-2012/GR;435;Keine überparteilichen Listenverbindungen;Motion;2;16.4 Proporzwahlen;;;Staatspolitik;;;Bruno Lüscher;FDP;2;Gabi Badertscher;FDP;2;Hanspeter Gantenbein;SVP;1;;;;;;;;;;;;;;;;;;;;;;14.08.2012;12.09.2012;nicht erheblich;2;;;
25.04.2012;0436/2008-2012/GR;436;Konzept betreffend eine Strategie zur differenzierten und nachhaltigen Stärkung und Entwicklung von Dörfern und Weilern;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;70.1 Raumplanung, Richtpläne;;;Raumplanungs- und Wohnungswesen;;;Fabienne Schnyder;SVP;1;Cornelia Komposch;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;26.03.2013;08.05.2013;nicht erheblich;2;;;
25.04.2012;0433/2008-2012/GR;433;ekt-Geschäftssitzwechsel;Einfache Anfrage;5;;;;Energie;Staatspolitik;;Luzi Schmid;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.06.2012;;;;;;
25.04.2012;0429/2008-2012/GR;429;Erneuter Ausfall der Serversysteme des Amtes für Informatik;Einfache Anfrage;5;17.2 Regierungsrat;;;Staatspolitik;;;Heidi Grau;FDP;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.06.2012;;;;;;
25.04.2012;0430/2008-2012/GR;430;Haltung der Thurgauer Regierung zum 'Bodensee-Rheintal-Y';Einfache Anfrage;5;74.2 Schienenverkehr, Bahnen, NEAT, Bahn 2000, Regional;;;Verkehr;;;Toni Kappeler;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.06.2012;;;;;;
25.04.2012;0432/2008-2012/GR;432;Pflastersteine aus China;Einfache Anfrage;5;72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen;;;Raumplanungs- und Wohnungswesen;;;Regina Rüetschi;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
25.04.2012;0431/2008-2012/GR;431;Vereinbarkeit von Beruf und Angehörigenpflege;Einfache Anfrage;5;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.06.2012;;;;;;
25.04.2012;0434/2008-2012/GR;434;Spital Thurgau AG;Einfache Anfrage;5;81.0 Allgemeines, Organisation, Gesetz, Taxen;;;Gesundheit;;;Robert Zahnd;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.06.2012;;;;;;
09.05.2012;0441/2008-2012/GR;441;Änderung Rückerstattungsansprüche für Sozialhilfebeiträge von Familien;Motion;2;85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht;;;Sozialer Schutz;Soziale Fragen;;Edith Wohlfender;SP;4;Elsbeth Aepli Stettler;CVP;3;Regula Streckeisen;EVP;7;Brigitta Hartmann;GP;5;Robert Meyer;glp;6;;;;;;;;;;;;;;;;06.11.2012;19.12.2012;nicht erheblich;2;;;
09.05.2012;0439/2008-2012/GR;439;Informationen des Regierungsrates betreffend BTS und OLS;Einfache Anfrage;5;;;;Verkehr;;;Robert Meyer;glp;6;Regula Streckeisen;EVP;7;;;;;;;;;;;;;;;;;;;;;;;;;13.06.2012;;;;;;
09.05.2012;0440/2008-2012/GR;440;Entschädigung Lohnausfall für Masterstudiengang an der interkantonalen Hochschule für Heilpädagogik (HfH);Einfache Anfrage;5;41.0 Unterrichtswesen, Lehrerorganisation und -fortbildung;;;Bildung;;;Katharina Winiger;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
09.05.2012;0437/2008-2012/GR;437;Stopp dem Kahlschlag beim Wagenladungsverkehr;Einfache Anfrage;5;74.2 Schienenverkehr, Bahnen, NEAT, Bahn 2000, Regional;;;Verkehr;;;Barbara Kern;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
09.05.2012;0438/2008-2012/GR;438;Holzverwendung bei kantonalen und vom Kanton subventionierten Bauten;Einfache Anfrage;5;92.1 Forstwesen;;;Landwirtschaft;;;Paul Koch;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
30.05.2012;0024/2012-2016/GR;24;Finanzierung von Gemeindeporträts durch den Kanton für die Gemeinden Egnach, Salmsach, Langrickenbach und Altnau im Hinblick auf die Auswirkungen der geplanten Schnellstrasse BTS und der OLS;Einfache Anfrage;5;72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen;;;Raumplanungs- und Wohnungswesen;;;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
13.06.2012;0026/2012-2016/GR;26;Krankenkassenprämienausstände;Einfache Anfrage;5;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Walter Schönholzer;FDP;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.08.2012;;;;;;
27.06.2012;0032/2012-2016/GR;32;Schlechte Wahlbeteiligung bei Kantonsratswahlen;Interpellation;4;16.4 Proporzwahlen;;;Staatspolitik;;;Urs Martin;SVP;1;Silvia Schwyter;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;11.06.2013;14.08.2013;;;;;
27.06.2012;0033/2012-2016/GR;33;Drohende Abschaffung der Sozialhilfe im Rahmen der eidgenössischen Asylgesetzrevision: Auswirkung auf den Kanton Thurgau und die Gemeinden;Interpellation;4;85.0 Fürsorge, Massnahmen, Kinderheime, Heimaufsicht;14.2 Niederlassung, Aufenthalt, Asyl;;Sozialer Schutz;Soziale Fragen;Staatspolitik;Christa Thorner;SP;4;Turi Schallenberg;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;28.08.2012;01.10.2012;;;;;
27.06.2012;0031/2012-2016/GR;31;Massvolle TKB-Löhne;Motion;2;95.1 TKB, Bankenaufsicht;;;Wirtschaft;Staatspolitik;;Vico Zahnd;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;02.10.2012;21.11.2012;nicht erheblich;2;;;
27.06.2012;0030/2012-2016/GR;30;Zwischenbilanz Anti-Littering-Kampagne;Einfache Anfrage;5;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Markus Berner;BDP;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.08.2012;;;;;;
27.06.2012;0029/2012-2016/GR;29;Regierungsrat als Werbesujet;Einfache Anfrage;5;81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall;;;Umwelt;Gesundheit;;Renate Bruggmann;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.08.2012;;;;;;
15.08.2012;0039/2012-2016/GR;39;Wir brauchen eine kantonale Demenzstrategie;Interpellation;4;81.0 Allgemeines, Organisation, Gesetz, Taxen;;;Gesundheit;;;Jürg Wiesli;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.02.2013;27.03.2013;;;;;
15.08.2012;0037/2012-2016/GR;37;Abstimmungspropaganda der TKB;Einfache Anfrage;5;95.1 TKB, Bankenaufsicht;;;Wirtschaft;Staatspolitik;;Peter Gubser;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2012;;;;;;
15.08.2012;0038/2012-2016/GR;38;Kürzung der Mehrwertabgabe bei Beschaffung landwirtschaftlicher Ersatzbauten zur Selbstbewirtschaftung;Motion;2;"70.2 Baugesetz; Planungen Hoch- und Tiefbau, Baulinien";;;Raumplanungs- und Wohnungswesen;;;Guido Häni;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.04.2013;12.06.2013;Rückzug;4;;;
29.08.2012;0045/2012-2016/GR;45;Nachhaltigkeit von BTS und OLS;Einfache Anfrage;5;72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen;;;Raumplanungs- und Wohnungswesen;;;Brigitta Hartmann;GP;5;Barbara Kern;SP;4;Robert Meyer;glp;6;;;;;;;;;;;;;;;;;;;;;;01.10.2012;;;;;;
29.08.2012;0042/2012-2016/GR;42;Pro BTS/OLS Abstimmungspropaganda des Amtes für Wirtschaft und Arbeit;Einfache Anfrage;5;16.2 Abstimmungen;;;Staatspolitik;;;Jürg Wiesli;glp;6;Esther Kuhn;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2012;;;;;;
29.08.2012;0044/2012-2016/GR;44;Kulturlandmangel und Mangel an politischer Kultur;Einfache Anfrage;5;16.2 Abstimmungen;;;Staatspolitik;;;Klemenz Somm;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;01.10.2012;;;;;;
29.08.2012;0041/2012-2016/GR;41;AXPO-Investitionen in Beznau I und II;Interpellation;4;73.2 Elektrizität inkl. Versorgung, Wasserkraft, AKW;;;Energie;;;Kurt Egger;GP;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.06.2013;14.08.2013;;;;;
29.08.2012;0043/2012-2016/GR;43;Untersuchungsgefängnis St. Gallerstrasse 13 in Frauenfeld;Einfache Anfrage;5;34.2 Anstalten, Massnahmen, Schutzaufsicht, Opferhilfe, Begnadigung;;;Recht allgemein;;;Robert Zahnd;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.11.2012;;;;;;
12.09.2012;0048/2012-2016/GR;48;Einführung einer ständigen Bildungskommission;Motion;2;13.1 Gebiet, Organisation, Reglemente, Verwaltung;;;Staatspolitik;;;Roland A. Huber;BDP;9;Peter Gubser;SP;4;Christa Kaufmann;CVP;3;Urs Schrepfer;SVP;1;;;;;;;;;;;;;;;;;;;BeantwortungBüro:14.08.13;30.09.2013;nicht erheblich;2;;;
12.09.2012;0049/2012-2016/GR;49;Rektorenlohn für Lehrerjob am BZT?;Einfache Anfrage;5;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Roland A. Huber;BDP;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.11.2012;;;;;;
01.10.2012;0053/2012-2016/GR;53;Bericht 'System Kommissionsarbeit';Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;;;;Staatspolitik;;;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;BeantwortungBüro:19.12.12;09.01.2013;nicht erheblich;2;;;
01.10.2012;0052/2012-2016/GR;52;Verfeinerung der IPV-Stufenübergänge;Motion;2;83.2 Kranken- und Unfallversicherung, Vereinbarungen;;;Sozialer Schutz;Soziale Fragen;;Jürg Wiesli;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.09.2013;23.10.2013;nicht erheblich;2;;;
