Jahr;Name;Vorname;Beruf;Ort;Bezirk;Fraktion;GR_Eintritt;Geb_Jahr;Partei;Geschlecht
2013;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2014;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2015;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2016;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2017;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2018;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2019;Kern;Barbara;Stadträtin;Kreuzlingen;Kreuzlingen;SP;2004;;SP;weiblich
2009;Kern;Barbara;Pflegefachfrau DN II;Kreuzlingen;Kreuzlingen;SP;2004;1954;SP;weiblich
2010;Kern;Barbara;Pflegefachfrau DN II;Kreuzlingen;Kreuzlingen;SP;2004;1954;SP;weiblich
2011;Kern;Barbara;Pflegefachfrau DN II;Kreuzlingen;Kreuzlingen;SP;2004;1954;SP;weiblich
2012;Kern;Barbara;Pflegefachfrau DN II;Kreuzlingen;Kreuzlingen;SP;2004;1954;SP;weiblich
2019;Kern;Ruth;eidg. dipl. Apothekerin FPH, Berufsschullehrerin für Pharma-Assisteninnen KBZ St.Gallen;Frauenfeld;Frauenfeld;FDP;2018;;FDP;weiblich
2020;Kern;Ruth;eidg. dipl. Apothekerin FPH;Frauenfeld;Frauenfeld;FDP;2018;;FDP;weiblich
2021;Kern;Ruth;eidg. dipl. Apothekerin FPH;Frauenfeld;Frauenfeld;FDP;2018;;FDP;weiblich
2008;Klarer;Myrta;Unternehmerin;Sirnach;Münchwilen;SVP;1996;;SVP;weiblich
2009;Klarer;Myrta;Unternehmerin;Sirnach;Münchwilen;SVP;1996;1948;SVP;weiblich
2010;Klarer;Myrta;Unternehmerin;Sirnach;Münchwilen;SVP;1996;1948;SVP;weiblich
2011;Klarer;Myrta;Unternehmerin;Sirnach;Münchwilen;SVP;1996;1948;SVP;weiblich
2012;Klarer;Myrta;Unternehmerin;Sirnach;Münchwilen;SVP;1996;1948;SVP;weiblich
2009;Klöti;Martin;Stadtammann, dipl. Landschaftsarchitekt BSLA;Arbon;Arbon;FDP;2008;1954;FDP;männlich
2010;Klöti;Martin;Stadtammann, dipl. Landschaftsarchitekt BSLA;Arbon;Arbon;FDP;2008;1954;FDP;männlich
2011;Klöti;Martin;Stadtammann, dipl. Landschaftsarchitekt BSLA;Arbon;Arbon;FDP;2008;1954;FDP;männlich
2012;Klöti;Martin;Stadtammann, dipl. Landschaftsarchitekt BSLA;Arbon;Arbon;FDP;2008;1954;FDP;männlich
2008;Knill-Kradolfer;Monika;AMP, Gemeinderätin;Alterswilen;Kreuzlingen;SVP;2003;;SVP;weiblich
2008;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2013;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2014;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2015;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2016;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2017;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2018;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2019;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2020;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2021;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;;SVP;männlich
2009;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;1954;SVP;männlich
2010;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;1954;SVP;männlich
2011;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;1954;SVP;männlich
2012;Knöpfli;Walter;Bauführer, Landwirt;Kesswil;Arbon;SVP;2004;1954;SVP;männlich
2013;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2014;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2015;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2016;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2010;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;1975;SP;männlich
2011;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;1975;SP;männlich
2012;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;1975;SP;männlich
2013;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2014;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2015;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2016;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2017;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2018;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2019;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2012;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;1960;SVP;männlich
2017;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2018;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2019;Koch;Christian;lic. iur., Rechtsanwalt;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2020;Koch;Christian;Bezirksrichter, lic.iur., RA;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2021;Koch;Christian;Bezirksrichter, lic.iur., RA;Matzingen;Frauenfeld;SP;2010;;SP;männlich
2020;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2021;Koch;Paul;Revierförster, Betriebsleiter;Oberneunforn;Frauenfeld;SVP;2012;;SVP;männlich
2008;Komposch;Cornelia;Gemeindeammann;Herdern;Steckborn;SP;2004;;SP;weiblich
2013;Komposch;Cornelia;Gemeindeammann;Herdern;Frauenfeld;SP;2004;;SP;weiblich
2014;Komposch;Cornelia;Gemeindeammann;Herdern;Frauenfeld;SP;2004;;SP;weiblich
2009;Komposch;Cornelia;Gemeindeammann;Herdern;Steckborn;SP;2004;1963;SP;weiblich
2010;Komposch;Cornelia;Gemeindeammann;Herdern;Steckborn;SP;2004;1963;SP;weiblich
2011;Komposch;Cornelia;Gemeindeammann;Herdern;Steckborn;SP;2004;1963;SP;weiblich
2012;Komposch;Cornelia;Gemeindeammann;Herdern;Steckborn;SP;2004;1963;SP;weiblich
2008;Kreis;Willi;Schulpfleger;Kümmertshausen;Bischofszell;SVP;1996;;SVP;männlich
2009;Kreis;Willi;Schulpfleger;Kümmertshausen;Bischofszell;SVP;1996;1951;SVP;männlich
2010;Kreis;Willi;Schulpfleger;Kümmertshausen;Bischofszell;SVP;1996;1951;SVP;männlich
2011;Kreis;Willi;Schulpfleger;Kümmertshausen;Bischofszell;SVP;1996;1951;SVP;männlich
2012;Kreis;Willi;Schulpfleger;Kümmertshausen;Bischofszell;SVP;1996;1951;SVP;männlich
2008;Krucker;August;Betriebsökonom HWV;Rickenbach;Münchwilen;FDP;1992;;FDP;männlich
2009;Krucker;August;Betriebsökonom HWV;Rickenbach;Münchwilen;FDP;1992;1956;FDP;männlich
2008;Kuhn;Alfred;Zollinspektor-Stellvertreter;Sirnach;Münchwilen;SP;2007;;SP;männlich
2013;Kuhn;Esther;Betriebsökonomin HWV,Unternehmerin;Mammern;Frauenfeld;CVP/glp;2012;;glp;weiblich
2014;Kuhn;Esther;Betriebsökonomin HWV,Unternehmerin;Mammern;Frauenfeld;CVP/glp;2012;;glp;weiblich
2015;Kuhn;Esther;Betriebsökonomin HWV,Unternehmerin;Mammern;Frauenfeld;CVP/glp;2012;;glp;weiblich
2017;Kuhn;Petra;Kauffrau mit Berufsmaturität;Hefenhausen;Kreuzlingen;SVP;2016;;SVP;weiblich
2018;Kuhn;Petra;Kauffrau mit Berufsmaturität;Weinfelden;Kreuzlingen;SVP;2016;;SVP;weiblich
2019;Kuhn;Petra;Kauffrau mit Berufsmaturität;Weinfelden;Kreuzlingen;SVP;2016;;SVP;weiblich
2020;Kuhn;Petra;Head of Apprenticeship;Tägerwilen;Kreuzlingen;SVP;2016;;SVP;weiblich
2021;Kuhn;Petra;Key Account and Public Relations Manager;Fruthwilen;Kreuzlingen;SVP;2016;;SVP;weiblich
2008;Kummer;Peter;Stadtammann;Oberaach;Bischofszell;SVP;2000;;SVP;männlich
2009;Kummer;Peter;Stadtammann;Oberaach;Bischofszell;SVP;2000;1945;SVP;männlich
2010;Kummer;Peter;a. Stadtammann;Oberaach;Bischofszell;SVP;2000;1945;SVP;männlich
2011;Kummer;Peter;a. Stadtammann;Oberaach;Bischofszell;SVP;2000;1945;SVP;männlich
2012;Kummer;Peter;a. Stadtammann;Oberaach;Bischofszell;SVP;2000;1945;SVP;männlich
2008;Kuttruff;Roland;Masch. Ing. HTL, Gemeindeammann;Tobel;Münchwilen;CVP;2000;;CVP;männlich
2009;Kuttruff;Roland;Masch. Ing. HTL, Gemeindeammann;Tobel;Münchwilen;CVP/glp;2000;1949;CVP;männlich
2010;Kuttruff;Roland;Masch. Ing. HTL, Gemeindeammann;Tobel;Münchwilen;CVP/glp;2000;1949;CVP;männlich
2011;Kuttruff;Roland;Masch. Ing. HTL, Gemeindeammann;Tobel;Münchwilen;CVP/glp;2000;1949;CVP;männlich
2012;Kuttruff;Roland;Masch. Ing. HTL, Gemeindeammann;Tobel;Münchwilen;CVP/glp;2000;1949;CVP;männlich
2015;Lagler;Reto;Personalentwickler;Ermatingen;Kreuzlingen;CVP/glp;2014;;CVP;männlich
2016;Lagler;Reto;Personalentwickler;Ermatingen;Kreuzlingen;CVP/glp;2014;;CVP;männlich
2017;Lagler;Reto;Personalentwickler;Ermatingen;Kreuzlingen;CVP/EVP;2014;;CVP;männlich
2018;Lagler;Reto;Unternehmer;Ermatingen;Kreuzlingen;CVP/EVP;2014;;CVP;männlich
2019;Lagler;Reto;Unternehmer;Ermatingen;Kreuzlingen;CVP/EVP;2014;;CVP;männlich
2008;Lang;Hansjörg;Dr. med., Land­arzt;Mammern;Steckborn;FDP;1984;;FDP;männlich
2009;Lang;Hansjörg;Dr. med., Landarzt;Mammern;Steckborn;FDP;1984;1948;FDP;männlich
2009;Lei;Hermann;lic. iur., Rechtsanwalt, Lehrer;Frauenfeld;Frauenfeld;SVP;2008;1972;SVP;männlich
2010;Lei;Hermann;lic. iur., Rechtsanwalt, Lehrer;Frauenfeld;Frauenfeld;SVP;2008;1972;SVP;männlich
2011;Lei;Hermann;lic. iur., Rechtsanwalt, Lehrer;Frauenfeld;Frauenfeld;SVP;2008;1972;SVP;männlich
2012;Lei;Hermann;lic. iur., Rechtsanwalt, Lehrer;Frauenfeld;Frauenfeld;SVP;2008;1972;SVP;männlich
2013;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2014;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2015;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2016;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2017;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2018;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2019;Lei;Hermann;lic. iur., Rechtsanwalt,Lehrer;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2020;Lei;Hermann;lic. iur., Rechtsanwalt;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2021;Lei;Hermann;lic. iur., Rechtsanwalt;Frauenfeld;Frauenfeld;SVP;2008;;SVP;männlich
2013;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;CVP/glp;2012;;glp;männlich
2014;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;CVP/glp;2012;;glp;männlich
2015;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;CVP/glp;2012;;glp;männlich
2016;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;CVP/glp;2012;;glp;männlich
2017;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;glp/BDP;2012;;glp;männlich
2018;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;glp/BDP;2012;;glp;männlich
2019;Leuthold;Stefan;Kaufmann;Frauenfeld;Frauenfeld;glp/BDP;2012;;glp;männlich
2020;Leuthold;Stefan;Unternehmer;Frauenfeld;Frauenfeld;glp;2012;;glp;männlich
2021;Leuthold;Stefan;Unternehmer;Frauenfeld;Frauenfeld;glp;2012;;glp;männlich
2014;Limoncelli;Ralph;Stadtschreiber;Frauenfeld;Frauenfeld;CVP/glp;2014;;CVP;männlich
2015;Limoncelli;Ralph;Stadtschreiber;Frauenfeld;Frauenfeld;CVP/glp;2014;;CVP;männlich
2016;Limoncelli;Ralph;Stadtschreiber;Frauenfeld;Frauenfeld;CVP/glp;2014;;CVP;männlich
2008;Lohr;Christian;Journalist/Publizist;Kreuzlingen;Kreuzlingen;CVP;2000;;CVP;männlich
2013;Lohr;Christian;Publizist, Nationalrat;Kreuzlingen;Kreuzlingen;CVP/glp;2000;;CVP;männlich
2014;Lohr;Christian;Publizist, Nationalrat;Kreuzlingen;Kreuzlingen;CVP/glp;2000;;CVP;männlich
2009;Lohr;Christian;Journalist, Publizist;Kreuzlingen;Kreuzlingen;CVP/glp;2000;1962;CVP;männlich
2010;Lohr;Christian;Journalist, Publizist;Kreuzlingen;Kreuzlingen;CVP/glp;2000;1962;CVP;männlich
2011;Lohr;Christian;Journalist, Publizist;Kreuzlingen;Kreuzlingen;CVP/glp;2000;1962;CVP;männlich
2012;Lohr;Christian;Journalist, Publizist;Kreuzlingen;Kreuzlingen;CVP/glp;2000;1962;CVP;männlich
2008;Lüscher;Bruno;Gemeindeammann;Aadorf;Frauenfeld;FDP;2004;;FDP;männlich
2009;Lüscher;Bruno;Gemeindeammann;Aadorf;Frauenfeld;FDP;2004;1951;FDP;männlich
2010;Lüscher;Bruno;Gemeindeammann;Aadorf;Frauenfeld;FDP;2004;1951;FDP;männlich
2011;Lüscher;Bruno;Gemeindeammann;Aadorf;Frauenfeld;FDP;2004;1951;FDP;männlich
2012;Lüscher;Bruno;Gemeindeammann;Aadorf;Frauenfeld;FDP;2004;1951;FDP;männlich
2013;Lüscher;Bruno;Gemeindeammann;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2014;Lüscher;Bruno;Gemeindeammann;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2015;Lüscher;Bruno;a. Gemeindeammann;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2016;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2017;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2018;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2019;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2020;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2021;Lüscher;Bruno;a. Gemeindepräsident;Aadorf;Münchwilen;FDP;2004;;FDP;männlich
2020;Macedo;Gabriel;Stadtpräsident;Amriswil;Arbon;FDP;2020;;FDP;männlich
2021;Macedo;Gabriel;Stadtpräsident;Amriswil;Arbon;FDP;2020;;FDP;männlich
2013;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU/EVP;2012;;EDU;männlich
2014;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU/EVP;2012;;EDU;männlich
2015;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU/EVP;2012;;EDU;männlich
2016;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU/EVP;2012;;EDU;männlich
2017;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU;2012;;EDU;männlich
2018;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU;2012;;EDU;männlich
2019;Mader;Christian;Schreiner;Frauenfeld;Frauenfeld;EDU;2012;;EDU;männlich
2020;Mader;Christian;Verkaufsleiter, Schreiner;Frauenfeld;Frauenfeld;EDU;2012;;EDU;männlich
2021;Mader;Christian;Verkaufsleiter, Schreiner;Frauenfeld;Frauenfeld;EDU;2012;;EDU;männlich
2020;Madörin;Lukas;Unternehmer;Weinfelden;Weinfelden;EDU;2019;;EDU;männlich
2021;Madörin;Lukas;Unternehmer;Weinfelden;Weinfelden;EDU;2019;;EDU;männlich
2018;Manser;Roland;Key Account Manager;Märstetten;Weinfelden;FDP;2018;;FDP;männlich
2019;Manser;Roland;Key Account Manager;Märstetten;Weinfelden;FDP;2018;;FDP;männlich
2013;Marazzi-Egloff;Marlise;Geschäftsleitung,Administration;Kreuzlingen;Kreuzlingen;FDP;2011;;FDP;weiblich
2014;Marazzi-Egloff;Marlise;Geschäftsleitung,Administration;Kreuzlingen;Kreuzlingen;FDP;2011;;FDP;weiblich
2015;Marazzi-Egloff;Marlise;Geschäftsleitung,Administration;Kreuzlingen;Kreuzlingen;FDP;2011;;FDP;weiblich
2016;Marazzi-Egloff;Marlise;Geschäftsleitung,Administration;Kreuzlingen;Kreuzlingen;FDP;2011;;FDP;weiblich
2012;Marazzi-Egloff;Marlise;Geschäftsleitung,Administration;Kreuzlingen;Kreuzlingen;FDP;2011;1954;FDP;weiblich
2008;Markstaller;Peter;dipl. Treuhandexperte;Kreuzlingen;Kreuzlingen;FDP;2004;;FDP;männlich
2009;Markstaller;Peter;dipl. Treuhandexperte;Kreuzlingen;Kreuzlingen;FDP;2004;1965;FDP;männlich
2020;Marolf;Jürg;Sekundarlehrer;Romanshorn;Arbon;CVP/EVP;2020;;CVP;männlich
2021;Marolf;Jürg;Sekundarlehrer;Romanshorn;Arbon;CVP/EVP;2020;;CVP;männlich
2016;Marti;Verena;dipl. Pflegefachfrau HF;Steinebrunn;Arbon;SP;2015;;SP;weiblich
2017;Marti;Verena;dipl. Pflegefachfrau HF;Steinebrunn;Arbon;SP;2015;;SP;weiblich
2018;Marti;Verena;dipl. Pflegefachfrau HF;Steinebrunn;Arbon;SP;2015;;SP;weiblich
2020;Martin;Oliver;Unternehmer, Geschäftsführer;Leimbach;Weinfelden;SVP;2020;;SVP;männlich
2021;Martin;Oliver;Unternehmer, Geschäftsführer;Leimbach;Weinfelden;SVP;2020;;SVP;männlich
2013;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2014;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2015;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2016;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2017;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2018;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2019;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Arbon;SVP;2008;;SVP;männlich
2009;Martin;Urs;lic. rer. publ. HSG, Fraktionssekretär SVP Schweiz;Oberaach;Bischofszell;SVP;2008;1979;SVP;männlich
2010;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Bischofszell;SVP;2008;1979;SVP;männlich
2011;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Bischofszell;SVP;2008;1979;SVP;männlich
2012;Martin;Urs;lic. rer. publ. HSG;Romanshorn;Bischofszell;SVP;2008;1979;SVP;männlich
2008;Marty;Walter;Gemeindeammann;Ellighausen;Kreuzlingen;SVP;2006;;SVP;männlich
2013;Marty;Walter;Gemeindeammann,Verwaltungsökonom;Ellighausen;Kreuzlingen;SVP;2006;;SVP;männlich
2014;Marty;Walter;Gemeindeammann,Verwaltungsökonom;Ellighausen;Kreuzlingen;SVP;2006;;SVP;männlich
2015;Marty;Walter;Gemeindeammann,Verwaltungsökonom;Siegershausen;Kreuzlingen;SVP;2006;;SVP;männlich
2016;Marty;Walter;Gemeindepräsident,Verwaltungsökonom;Altishausen;Kreuzlingen;SVP;2006;;SVP;männlich
2017;Marty;Walter;Gemeindepräsident,Verwaltungsökonom;Altishausen;Kreuzlingen;SVP;2006;;SVP;männlich
2018;Marty;Walter;Gemeindepräsident,Verwaltungsökonom;Altishausen;Kreuzlingen;SVP;2006;;SVP;männlich
2019;Marty;Walter;Gemeindepräsident,Verwaltungsökonom;Altishausen;Kreuzlingen;SVP;2006;;SVP;männlich
2009;Marty;Walter;Gemeindeammann;Ellighausen;Kreuzlingen;SVP;2006;1962;SVP;männlich
2010;Marty;Walter;Gemeindeammann;Ellighausen;Kreuzlingen;SVP;2006;1962;SVP;männlich
2011;Marty;Walter;Gemeindeammann;Ellighausen;Kreuzlingen;SVP;2006;1962;SVP;männlich
2012;Marty;Walter;Gemeindeammann;Ellighausen;Kreuzlingen;SVP;2006;1962;SVP;männlich
2009;Merz-Abt;Thomas;Professor Dr. phil.;Weinfelden;Weinfelden;CVP/glp;2008;1962;CVP;männlich
2010;Merz-Abt;Thomas;Professor Dr. phil.;Weinfelden;Weinfelden;CVP/glp;2008;1962;CVP;männlich
2011;Merz-Abt;Thomas;Professor Dr. phil.;Weinfelden;Weinfelden;CVP/glp;2008;1962;CVP;männlich
2012;Merz-Abt;Thomas;Professor Dr. phil.;Weinfelden;Weinfelden;CVP/glp;2008;1962;CVP;männlich
2020;Merz-Helg;Petra;Sekundarlehrerin;Weinfelden;Weinfelden;CVP/EVP;2020;;CVP;weiblich
2021;Merz-Helg;Petra;Sekundarlehrerin;Weinfelden;Weinfelden;CVP/EVP;2020;;CVP;weiblich
2008;Mettler;Ruth;Kauffrau;Wilen;Münchwilen;FDP;2002;;FDP;weiblich
2009;Mettler;Ruth;Kauffrau;Wilen;Münchwilen;FDP;2002;1963;FDP;weiblich
2010;Mettler;Ruth;Kauffrau;Wilen (Gottshaus);Münchwilen;FDP;2002;1963;FDP;weiblich
2011;Mettler;Ruth;Kauffrau;Wilen (Gottshaus);Münchwilen;FDP;2002;1963;FDP;weiblich
2012;Mettler;Ruth;Kauffrau;Wilen (Wil);Münchwilen;FDP;2002;1963;FDP;weiblich
2008;Meyenhofer;Hildegard;Sozialarbeiterin/ Supervisorin BSO;Kreuzlingen;Kreuzlingen;SP;2005;;SP;weiblich
2013;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;;glp;männlich
2014;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;;glp;männlich
2015;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;;glp;männlich
2016;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;CVP/glp;2008;;glp;männlich
2017;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;glp/BDP;2008;;glp;männlich
2018;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;glp/BDP;2008;;glp;männlich
2019;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;glp/BDP;2008;;glp;männlich
2020;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;glp;2008;;glp;männlich
2021;Meyer;Robert;a. Gemeindepräsident;Eschlikon;Münchwilen;glp;2008;;glp;männlich
2009;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;1950;glp;männlich
2010;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;1950;glp;männlich
2011;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;1950;glp;männlich
2012;Meyer;Robert;Gemeindeammann;Eschlikon;Münchwilen;CVP/glp;2008;1950;glp;männlich
2016;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2017;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2018;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2019;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2020;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2021;Möckli;Gottfried;Unternehmer;Basadingen;Frauenfeld;SVP;2016;;SVP;männlich
2008;Möckli;Max;Automechaniker;Schlatt;Diessenhofen;FDP;2004;;FDP;männlich
2013;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2014;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2015;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2016;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2017;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2018;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2019;Möckli;Max;Unternehmer;Schlatt;Frauenfeld;FDP;2004;;FDP;männlich
2009;Möckli;Max;Automechaniker;Schlatt;Diessenhofen;FDP;2004;1950;FDP;männlich
2010;Möckli;Max;Automechaniker;Schlatt;Diessenhofen;FDP;2004;1950;FDP;männlich
2011;Möckli;Max;Automechaniker;Schlatt;Diessenhofen;FDP;2004;1950;FDP;männlich
2012;Möckli;Max;Automechaniker;Schlatt;Diessenhofen;FDP;2004;1950;FDP;männlich
2008;Moinat-Höltschi;Marianne;Familienfrau, med. Praxisassistentin;Neukirch (Egnach);Arbon;SP;2000;;SP;weiblich
2008;Moor;Katharina;Lehrerin;Oberhofen;Kreuzlingen;SP;1999;;SP;weiblich
2009;Moor;Katharina;Lehrerin;Oberhofen;Kreuzlingen;SP;1999;1944;SP;weiblich
2010;Moor;Katharina;Lehrerin;Oberhofen;Kreuzlingen;SP;1999;1944;SP;weiblich
2011;Moor;Katharina;Lehrerin;Oberhofen;Kreuzlingen;SP;1999;1944;SP;weiblich
